,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
18,18,Attending a virtual conference on AI.,Neutral,2023-01-20 11:30:00,TechConference,Facebook,#AI #TechConference,25,50,USA,2023,1,20,11
19,19,Winter blues got me feeling low.,Negative,2023-01-20 15:15:00,WinterBlues,Instagram,#WinterBlues #Mood,8,15,USA,2023,1,20,15
20,20,Sipping coffee and enjoying a good book.,Positive,2023-01-21 8:40:00,Bookworm,Twitter,#Reading #CoffeeTime,22,45,India,2023,1,21,8
21,21,Exploring the world of virtual reality.,Positive,2023-01-21 13:20:00,VRExplorer,Facebook,#VR #VirtualReality,15,30,USA,2023,1,21,13
22,22,Productive day ticking off my to-do list.,Positive,2023-01-21 16:45:00,ProductivityPro,Instagram,#Productivity #WorkFromHome,30,60,USA,2023,1,21,16
23,23,Just finished a challenging workout routine.,Positive,2023-01-22 9:15:00,FitnessWarrior,Twitter,#Fitness #ChallengeAccepted,20,40,UK,2023,1,22,9
24,24,Celebrating a milestone at work! 馃帀,Positive,2023-01-22 14:30:00,CareerMilestone,Facebook,#Career #Milestone,12,25,Canada,2023,1,22,14
25,25,Sunday brunch with friends.,Positive,2023-01-22 12:00:00,BrunchBuddy,Instagram,#Brunch #Friends,15,30,UK,2023,1,22,12
27,28,Learning a new language for personal growth.,Positive,2023-01-23 16:20:00,LanguageLearner,Facebook,#LanguageLearning #PersonalGrowth,25,50,India,2023,1,23,16
28,29,Quiet evening with a good book.,Positive,2023-01-23 19:45:00,BookLover,Instagram,#Reading #QuietTime,15,30,Australia,2023,1,23,19
29,30,Reflecting on the importance of mental health.,Positive,2023-01-24 11:30:00,MentalHealthMatters,Twitter,#MentalHealth #SelfCare,22,45,USA,2023,1,24,11
30,31,New painting in progress! 馃帹,Positive,2023-01-24 15:00:00,ArtistInAction,Facebook,#Art #PaintingInProgress,12,25,Canada,2023,1,24,15
31,32,Weekend road trip to explore scenic views.,Positive,2023-01-24 17:30:00,RoadTripper,Instagram,#RoadTrip #ScenicViews,18,35,UK,2023,1,24,17
32,33,Enjoying a cup of tea and watching the sunset.,Positive,2023-01-25 18:00:00,SunsetWatcher,Twitter,#TeaTime #Sunset,15,30,India,2023,1,25,18
33,34,Coding a new project with enthusiasm.,Positive,2023-01-25 13:15:00,CodeEnthusiast,Facebook,#Coding #Enthusiasm,30,60,USA,2023,1,25,13
34,35,Feeling inspired after attending a workshop.,Positive,2023-01-26 9:45:00,WorkshopAttendee,Instagram,#Inspiration #Workshop,25,50,USA,2023,1,26,9
35,36,Winter sports day at the local park.,Positive,2023-01-26 14:20:00,WinterSports,Twitter,#WinterSports #Fun,15,30,Canada,2023,1,26,14
36,37,Quality time with family this weekend.,Positive,2023-01-26 17:40:00,FamilyTime,Facebook,#FamilyTime #Weekend,22,45,UK,2023,1,26,17
37,38,Attending a live music concert tonight.,Positive,2023-01-27 20:00:00,MusicLover,Instagram,#Music #ConcertNight,18,35,USA,2023,1,27,20
38,39,Practicing mindfulness with meditation.,Positive,2023-01-27 12:30:00,MindfulMoments,Twitter,#Mindfulness #Meditation,15,30,India,2023,1,27,12
39,40,Trying out a new dessert recipe.,Positive,2023-01-27 16:10:00,DessertExplorer,Facebook,#Dessert #Cooking,12,25,Canada,2023,1,27,16
40,41,Excited about the upcoming gaming tournament.,Positive,2023-01-28 9:00:00,GamingEnthusiast,Instagram,#Gaming #Tournament,30,60,USA,2023,1,28,9
41,42,Planning a garden makeover for spring.,Positive,2023-01-28 14:45:00,GardenPlanner,Twitter,#Gardening #Spring,25,50,USA,2023,1,28,14
42,43,Celebrating a friend's birthday tonight! 馃巶,Positive,2023-01-28 19:30:00,BirthdayBash,Facebook,#Birthday #Celebration,15,30,UK,2023,1,28,19
43,44,Feeling accomplished after a productive day.,Positive,2023-01-29 17:00:00,ProductivityWin,Instagram,#Accomplished #Success,22,45,India,2023,1,29,17
44,45,A cozy evening with a good movie.,Positive,2023-01-29 20:20:00,MovieNight,Twitter,#CozyNight #MovieTime,18,35,Canada,2023,1,29,20
45,46,Exploring local art galleries this weekend.,Positive,2023-01-30 11:30:00,ArtExplorer,Facebook,#Art #GalleryExplore,15,30,USA,2023,1,30,11
46,47,New book release from my favorite author!,Positive,2023-01-30 15:45:00,BookwormX,Instagram,#BookRelease #FavoriteAuthor,12,25,UK,2023,1,30,15
47,48,Attending a virtual reality meetup.,Positive,2023-01-30 18:30:00,VRMeetup,Twitter,#VRMeetup #VirtualReality,28,55,India,2023,1,30,18
48,49,Reflecting on the beauty of nature.,Positive,2023-01-31 10:45:00,NatureLover,Facebook,#Nature #Reflection,15,30,Australia,2023,1,31,10
49,50,Cooking a special dinner for loved ones.,Positive,2023-01-31 19:00:00,ChefAtHome,Instagram,#Cooking #SpecialDinner,20,40,USA,2023,1,31,19
50,51,Feeling optimistic about the week ahead.,Positive,2023-01-31 16:20:00,OptimisticMindset,Twitter,#Optimism #NewWeek,15,30,Canada,2023,1,31,16
51,52,Starting a new fitness challenge tomorrow! 馃挭,Positive,2023-02-01 8:00:00,FitnessChallenge,Facebook,#FitnessChallenge #NewBeginnings,22,45,UK,2023,2,1,8
52,53,Sunday bike ride through scenic trails.,Positive,2023-02-01 13:30:00,BikeExplorer,Instagram,#BikeRide #ScenicTrails,18,35,USA,2023,2,1,13
53,55,Can't believe the injustice happening in our society.,Anger,2023-02-11 9:30:00,SocialJustice,Twitter,#Injustice #Angry,20,40,Canada,2023,2,11,9
54,56,Feeling a sense of fear after watching a thriller movie.,Fear,2023-02-11 21:15:00,ThrillerFan,Instagram,#Fear #ThrillerMovie,15,30,USA,2023,2,11,21
55,57,Heartbroken after hearing the news about a natural disaster.,Sadness,2023-02-12 14:45:00,EmpathyFirst,Facebook,#Sadness #NaturalDisaster,25,50,India,2023,2,12,14
56,58,The state of the world's environment is just disgusting.,Disgust,2023-02-12 18:20:00,EcoAwareness,Twitter,#Disgust #Environment,18,35,UK,2023,2,12,18
57,59,Pure happiness: celebrating a loved one's achievement!,Happiness,2023-02-13 10:00:00,ProudFriend,Instagram,#Happiness #Celebration,30,60,USA,2023,2,13,10
58,60,Laughter is the best medicine鈥攅njoying a comedy show.,Joy,2023-02-13 19:30:00,ComedyFan,Facebook,#Joy #ComedyShow,22,45,Canada,2023,2,13,19
59,61,Sharing love and positive vibes with everyone! 鉂わ笍,Love,2023-02-14 8:30:00,LoveSpreader,Twitter,#Love #SpreadLove,15,30,Australia,2023,2,14,8
60,62,An amusing incident brightened up my day!,Amusement,2023-02-14 14:20:00,AmusedSoul,Instagram,#Amusement #FunTimes,18,35,UK,2023,2,14,14
61,63,Enjoying a quiet evening with a book and some tea.,Enjoyment,2023-02-14 19:45:00,BookLoverAgain,Facebook,#Enjoyment #BookTime,25,50,Canada,2023,2,14,19
62,64,Admiring the beauty of nature during a peaceful hike.,Admiration,2023-02-15 11:30:00,NatureAdmirer,Twitter,#Admiration #Nature,20,40,USA,2023,2,15,11
63,65,Sending affectionate vibes to all my followers!,Affection,2023-02-15 16:00:00,AffectionSender,Instagram,#Affection #PositiveVibes,15,30,USA,2023,2,15,16
64,66,Experiencing awe at the breathtaking sunset.,Awe,2023-02-15 20:30:00,AweStruck,Facebook,#Awe #Breathtaking,22,45,Australia,2023,2,15,20
65,67,Disappointed with the service at a local restaurant.,Disappointed,2023-02-16 9:00:00,FoodieGoneWrong,Twitter,#Disappointed #BadService,18,35,India,2023,2,16,9
66,68,A surprise gift from a friend made my day!,Surprise,2023-02-16 14:45:00,HappySurprise,Instagram,#Surprise #Gift,25,50,USA,2023,2,16,14
67,69,Finding acceptance in the midst of life's challenges.,Acceptance,2023-02-16 18:20:00,AcceptanceSeeker,Facebook,#Acceptance #Challenges,15,30,Canada,2023,2,16,18
68,70,Overflowing with adoration for my adorable pet! 馃惥,Adoration,2023-02-17 10:45:00,PetAdorer,Twitter,#Adoration #PetLove,22,45,UK,2023,2,17,10
69,71,Anticipating a thrilling adventure in the coming weeks.,Anticipation,2023-02-17 7:30:00,AdventureAwaits,Instagram,#Anticipation #Adventure,20,40,USA,2023,2,17,7
70,72,A bitter experience turned into a valuable lesson.,Bitter,2023-02-17 15:00:00,LearnFromBitter,Facebook,#BitterLesson #Growth,18,35,USA,2023,2,17,15
71,73,Finding calmness in the midst of a busy day.,Calmness,2023-02-18 9:30:00,ZenMaster,Twitter,#Calmness #PeacefulMind,15,30,India,2023,2,18,9
72,74,Confusion clouds my mind as I navigate through decisions.,Confusion,2023-02-18 14:20:00,ConfusedMind,Instagram,#Confusion #DecisionMaking,25,50,UK,2023,2,18,14
73,75,Excitement building up for the upcoming vacation!,Excitement,2023-02-18 18:45:00,VacationDreamer,Facebook,#Excitement #TravelPlans,22,45,Canada,2023,2,18,18
74,76,Kindness witnessed today restored my faith in humanity.,Kind,2023-02-19 11:30:00,KindnessPrevails,Twitter,#Kindness #Humanity,20,40,USA,2023,2,19,11
75,77,Pride in achieving a personal milestone.,Pride,2023-02-19 16:00:00,PersonalAchiever,Instagram,#Pride #Milestone,30,60,Australia,2023,2,19,16
76,78,A moment of shame for not standing up against injustice.,Shame,2023-02-19 19:45:00,ReflectiveSelf,Facebook,#Shame #Injustice,15,30,India,2023,2,19,19
77,79,Fuming with anger after a heated argument.,Anger,2023-02-20 9:30:00,AngryDebater,Twitter,#Anger #Argument,20,40,Canada,2023,2,20,9
78,80,The fear of the unknown is keeping me up at night.,Fear,2023-02-20 21:15:00,FearfulDreamer,Instagram,#Fear #Unknown,15,30,USA,2023,2,20,21
79,81,Heartfelt sadness after bidding farewell to a dear friend.,Sadness,2023-02-21 14:45:00,FarewellHeart,Facebook,#Sadness #Farewell,25,50,India,2023,2,21,14
80,82,The state of corruption in our society is utterly disgusting.,Disgust,2023-02-21 18:20:00,AntiCorruption,Twitter,#Disgust #Corruption,18,35,UK,2023,2,21,18
81,83,Overflowing happiness: welcoming a new family member!,Happiness,2023-02-22 10:00:00,NewParentJoy,Instagram,#Happiness #NewFamilyMember,30,60,UK,2023,2,22,10
82,84,Laughter is the key to joy鈥攁ttending a stand-up comedy show.,Joy,2023-02-22 19:30:00,StandUpFan,Facebook,#Joy #StandUpComedy,22,45,Canada,2023,2,22,19
83,85,Sending love to all my followers on this beautiful day! 鉂わ笍,Love,2023-02-23 8:30:00,LoveSender,Twitter,#Love #SpreadLove,15,30,Australia,2023,2,23,8
84,86,Amused by the antics of my pet鈥攊t's pure amusement!,Amusement,2023-02-23 14:20:00,PetAmuser,Instagram,#Amusement #PetAntics,18,35,UK,2023,2,23,14
85,87,Enjoying every moment of this trip鈥攑ure enjoyment!,Enjoyment,2023-02-23 19:45:00,TravelExplorer,Facebook,#Enjoyment #Travel,25,50,USA,2023,2,23,19
86,88,Admiring the dedication of volunteers at a local charity.,Admiration,2023-02-24 11:30:00,CharityAdmirer,Twitter,#Admiration #Volunteers,20,40,USA,2023,2,24,11
87,89,Sending affectionate vibes to friends and family.,Affection,2023-02-24 16:00:00,FamilyLover,Instagram,#Affection #FamilyLove,15,30,USA,2023,2,24,16
88,90,Awe-struck by the beauty of the night sky.,Awe,2023-02-24 20:30:00,Stargazer,Facebook,#Awe #StarryNight,22,45,Australia,2023,2,24,20
89,91,Disappointed with the lack of progress in a personal project.,Disappointed,2023-02-25 9:00:00,ProjectStruggle,Twitter,#Disappointed #Project,18,35,India,2023,2,25,9
90,92,A surprise visit from an old friend brought tears of joy.,Surprise,2023-02-25 14:45:00,JoyfulReunion,Instagram,#Surprise #OldFriends,25,50,USA,2023,2,25,14
91,93,Embracing acceptance of life's ups and downs.,Acceptance,2023-02-25 18:20:00,LifeAcceptance,Facebook,#Acceptance #LifeJourney,15,30,Canada,2023,2,25,18
92,94,Overflowing adoration for a cute rescue puppy! 馃惗,Adoration,2023-02-26 10:45:00,PuppyAdmirer,Twitter,#Adoration #PuppyLove,22,45,UK,2023,2,26,10
93,95,Anticipating the release of a much-awaited movie.,Anticipation,2023-02-26 7:30:00,MovieBuff2,Instagram,#Anticipation #MovieRelease,20,40,Australia,2023,2,26,7
94,96,Bitter experience at the customer service department.,Bitter,2023-02-26 15:00:00,CustomerWoes,Facebook,#BitterExperience #CustomerService,18,35,USA,2023,2,26,15
95,97,Finding calmness amidst the chaos of daily life.,Calmness,2023-02-27 9:30:00,CalmSoul,Twitter,#Calmness #InnerPeace,15,30,India,2023,2,27,9
96,98,Confusion reigns as I try to make sense of recent events.,Confusion,2023-02-27 14:20:00,ConfusedMind2,Instagram,#Confusion #MakingSense,25,50,UK,2023,2,27,14
97,99,Excitement building up for a surprise birthday party.,Excitement,2023-02-27 18:45:00,BirthdayExcite,Facebook,#Excitement #SurpriseParty,22,45,Canada,2023,2,27,18
98,100,Witnessed an act of kindness that made my day.,Kind,2023-02-28 11:30:00,KindnessObserver,Twitter,#Kindness #ActsOfKindness,20,40,USA,2023,2,28,11
99,101,Pride in completing a challenging fitness challenge.,Pride,2023-02-28 16:00:00,FitAchiever,Instagram,#Pride #FitnessChallengeCompleted,30,60,UK,2023,2,28,16
100,102,A moment of shame for not speaking up against injustice.,Shame,2023-02-28 19:45:00,ReflectiveSelf2,Facebook,#Shame #Injustice,15,30,India,2023,2,28,19
101,103,Reflecting on the beauty of diversity in our world.,Acceptance,2023-03-01 10:45:00,DiversityLover,Twitter,#Acceptance #Diversity,22,45,Australia,2023,3,1,10
102,104,Excitement for a quiet evening with a good book.,Excitement,2023-03-01 13:30:00,BookwormJoy,Instagram,#Excitement #BookTime,18,35,USA,2023,3,1,13
103,105,Feeling bitter about the unfairness in the workplace.,Bitter,2023-03-01 17:45:00,WorkplaceWoes,Twitter,#Bitter #Unfairness,15,30,Canada,2023,3,1,17
104,106,Calmness prevails as I practice mindfulness.,Calmness,2023-03-02 18:00:00,MindfulMe,Facebook,#Calmness #Mindfulness,15,30,UK,2023,3,2,18
105,107,Confusion surrounds me as I navigate through life's choices.,Confusion,2023-03-02 13:15:00,ConfusedMind3,Instagram,#Confusion #LifeChoices,30,60,USA,2023,3,2,13
106,108,Excitement for a weekend road trip to explore new places.,Excitement,2023-03-02 16:45:00,RoadTripper2,Twitter,#Excitement #WeekendAdventure,25,50,India,2023,3,2,16
107,109,Kindness witnessed today restores my faith in humanity.,Kind,2023-03-03 11:30:00,KindnessPrevails2,Facebook,#Kindness #HumanityRestored,22,45,USA,2023,3,3,11
108,110,Pride in accomplishing personal and professional goals.,Pride,2023-03-03 14:30:00,GoalAchiever,Instagram,#Pride #Accomplishments,12,25,Canada,2023,3,3,14
109,111,Shame for not being true to my values in a difficult situation.,Shame,2023-03-03 12:00:00,ReflectiveSelf3,Twitter,#Shame #Integrity,15,30,UK,2023,3,3,12
110,112," Revisiting old memories, feeling a sense of elation. ",Elation,2010-05-15 15:30:00,NostalgiaFan,Twitter,#Elation #Memories,20,40,Canada,2010,5,15,15
111,113,The victory of our team brought euphoria to the city.,Euphoria,2021-08-10 21:15:00,SportsFanatic,Instagram,#Euphoria #Victory,15,30,USA,2021,8,10,21
112,114," Embracing the beauty of nature, a moment of contentment. ",Contentment,2011-06-20 14:45:00,NatureLover2,Facebook,#Contentment #Nature,25,50,India,2011,6,20,14
113,115," Meditating by the serene lake, finding inner peace.   ",Serenity,2022-02-12 18:20:00,ZenMaster2,Twitter,#Serenity #Meditation,18,35,UK,2022,2,12,18
114,116,Overflowing with gratitude for life's blessings.,Gratitude,2012-11-25 10:00:00,ThankfulHeart,Instagram,#Gratitude #Blessed,30,60,Australia,2012,11,25,10
115,117," Hopeful for a brighter tomorrow, despite challenges.  ",Hope,2013-04-05 19:30:00,OptimisticSoul,Facebook,#Hope #Optimism,22,45,USA,2013,4,5,19
116,118,Empowered to make a difference in my community.,Empowerment,2014-09-14 8:30:00,CommunityLeader,Twitter,#Empowerment #Community,15,30,UK,2014,9,14,8
117,119,Compassion in action: supporting a local charity event.,Compassion,2015-07-18 14:20:00,CharitySupporter,Instagram,#Compassion #CharityEvent,18,35,Canada,2015,7,18,14
118,120," A moment of tenderness, connecting with loved ones.    ",Tenderness,2016-02-23 19:45:00,LovingHeart,Facebook,#Tenderness #FamilyTime,25,50,UK,2016,2,23,19
119,121,Arousal of excitement as I await a special announcement.,Arousal,2017-10-30 11:30:00,ExcitementFan,Twitter,#Arousal #Excitement,20,40,Australia,2017,10,30,11
120,122,Enthusiastically diving into a new project.,Enthusiasm,2018-06-15 16:00:00,ProjectEnthusiast,Instagram,#Enthusiasm #NewProject,15,30,USA,2018,6,15,16
121,123,Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,2019-03-28 18:20:00,MilestoneAchiever,Facebook,#Fulfillment #Milestone,22,45,India,2019,3,28,18
122,124,Reverence for the beauty of a historic landmark.,Reverence,2019-11-11 15:00:00,HistoryLover,Twitter,#Reverence #History,18,35,UK,2019,11,11,15
123,125,Elation after a surprise reunion with old friends.,Elation,2020-04-02 9:30:00,JoyfulReunion2,Instagram,#Elation #OldFriends,25,50,Canada,2020,4,2,9
124,126,The euphoria of a live music concert under the stars.,Euphoria,2021-06-19 14:45:00,MusicEnthusiast,Facebook,#Euphoria #LiveMusic,15,30,USA,2021,6,19,14
125,127,Contentment in the simplicity of a quiet Sunday.,Contentment,2010-08-15 10:00:00,SimpleJoys,Twitter,#Contentment #SundayMood,30,60,Australia,2010,8,15,10
126,128,Serenity found in the pages of a favorite book.,Serenity,2011-09-22 19:30:00,BookLover3,Instagram,#Serenity #BookTime,22,45,UK,2011,9,22,19
127,129,Gratitude for the support received during tough times.,Gratitude,2012-03-10 8:30:00,SupportiveFriend,Facebook,#Gratitude #Supportive,15,30,India,2012,3,10,8
128,130,Hopeful about the possibilities of a new journey.,Hope,2013-12-05 16:00:00,JourneyOptimist,Twitter,#Hope #NewBeginnings,18,35,Canada,2013,12,5,16
129,131,Empowerment through learning and personal growth.,Empowerment,2014-07-20 11:30:00,GrowthSeeker,Instagram,#Empowerment #PersonalGrowth,25,50,USA,2014,7,20,11
130,132,Compassion towards those in need during the holidays.,Compassion,2015-12-22 14:20:00,HolidayHelper,Facebook,#Compassion #HolidaySupport,18,35,USA,2015,12,22,14
131,133,Tenderness in the warmth of a cozy winter evening.,Tenderness,2016-02-10 19:45:00,WinterWarmth,Twitter,#Tenderness #CozyEvening,25,50,UK,2016,2,10,19
132,134,Arousal of excitement for an upcoming adventure.,Arousal,2017-04-30 11:30:00,AdventureAwaits,Instagram,#Arousal #AdventureTime,20,40,Australia,2017,4,30,11
133,135,Enthusiasm for a creative project in the making.,Enthusiasm,2018-09-15 16:00:00,CreativeSpirit,Facebook,#Enthusiasm #Creativity,15,30,Canada,2018,9,15,16
134,136,Fulfillment in completing a challenging workout routine.,Fulfillment,2019-06-28 18:20:00,FitnessAchiever,Twitter,#Fulfillment #FitnessGoals,22,45,India,2019,6,28,18
135,137,Reverence for the artistry displayed in a museum.,Reverence,2020-11-11 15:00:00,ArtAppreciator,Instagram,#Reverence #ArtAppreciation,18,35,UK,2020,11,11,15
136,138,Elation after achieving a personal goal.,Elation,2021-03-02 9:30:00,GoalAchiever2,Facebook,#Elation #PersonalAchievement,25,50,USA,2021,3,2,9
137,139,Elation over discovering a hidden gem in the city.,Elation,2012-02-18 14:30:00,UrbanExplorer2,Twitter,#Elation #HiddenGem,20,40,USA,2012,2,18,14
138,140,The euphoria of a surprise birthday celebration.,Euphoria,2018-11-05 21:45:00,BirthdayJoy,Instagram,#Euphoria #BirthdaySurprise,15,30,UK,2018,11,5,21
139,141,Contentment in the simplicity of a home-cooked meal.,Contentment,2015-09-12 13:20:00,HomeChef,Facebook,#Contentment #HomeCooking,25,50,India,2015,9,12,13
140,142,Serenity found in the melody of a peaceful piano.,Serenity,2016-07-30 18:10:00,MusicLover4,Twitter,#Serenity #PeacefulMelody,18,35,Canada,2016,7,30,18
141,143,Gratitude for the supportive community around me.,Gratitude,2013-04-20 10:30:00,CommunityLove,Instagram,#Gratitude #CommunitySupport,30,60,USA,2013,4,20,10
142,144,Hopeful about the prospects of a new business venture.,Hope,2017-12-08 19:15:00,EntrepreneurHope,Facebook,#Hope #BusinessVenture,22,45,Canada,2017,12,8,19
143,145,Empowerment through mentoring and guiding others.,Empowerment,2014-06-03 8:20:00,MentorEmpower,Twitter,#Empowerment #Mentorship,15,30,UK,2014,6,3,8
144,146,Compassion shown through acts of kindness in the community.,Compassion,2019-01-15 14:50:00,KindnessInAction,Instagram,#Compassion #CommunityKindness,18,35,Australia,2019,1,15,14
145,147,Tenderness in a heartfelt message to a loved one.,Tenderness,2016-12-25 19:30:00,LoveExpress,Facebook,#Tenderness #LoveNote,25,50,UK,2016,12,25,19
146,148,Arousal of excitement before a much-awaited trip.,Arousal,2018-03-10 9:45:00,TravelExcitement,Twitter,#Arousal #TravelAdventure,20,40,India,2018,3,10,9
147,149,Enthusiasm for a new artistic project in the works.,Enthusiasm,2020-09-17 16:30:00,ArtisticSpirit,Instagram,#Enthusiasm #ArtisticProject,15,30,USA,2020,9,17,16
148,150,Feeling a sense of fulfillment after helping others.,Fulfillment,2011-08-28 18:45:00,HelperHeart,Facebook,#Fulfillment #HelpingOthers,22,45,Canada,2011,8,28,18
149,151,Reverence for the historical significance of a landmark.,Reverence,2017-11-01 15:30:00,HistoryBuff,Twitter,#Reverence #HistoricalSite,18,35,Australia,2017,11,1,15
150,152,Elation after achieving a fitness milestone.,Elation,2019-06-15 10:00:00,FitnessAchiever2,Instagram,#Elation #FitnessMilestone,25,50,UK,2019,6,15,10
151,153,The euphoria of a successful product launch.,Euphoria,2022-04-03 11:45:00,ProductLaunchJoy,Facebook,#Euphoria #ProductLaunchSuccess,15,30,USA,2022,4,3,11
152,154,Contentment in the embrace of a loved one.,Contentment,2010-11-12 20:20:00,LovingEmbrace,Twitter,#Contentment #Love,30,60,India,2010,11,12,20
153,155,Serenity found in the beauty of a sunset by the sea.,Serenity,2011-07-22 18:30:00,SunsetWatcher2,Instagram,#Serenity #SunsetViews,22,45,Canada,2011,7,22,18
154,156,Gratitude for the small joys that each day brings.,Gratitude,2012-03-30 11:20:00,JoyfulHeart2,Facebook,#Gratitude #SmallJoys,15,30,Australia,2012,3,30,11
155,157,Hopeful about the potential for personal growth.,Hope,2013-10-05 16:40:00,GrowthOptimist,Twitter,#Hope #PersonalDevelopment,18,35,UK,2013,10,5,16
156,158,Empowerment through learning a new skill.,Empowerment,2014-07-10 13:15:00,SkillEmpower,Instagram,#Empowerment #SkillBuilding,25,50,India,2014,7,10,13
157,159,Compassion in volunteering for a local charity.,Compassion,2015-12-18 14:20:00,CharityVolunteer,Facebook,#Compassion #VolunteerWork,18,35,USA,2015,12,18,14
158,160,Tenderness in a quiet moment shared with a pet.,Tenderness,2016-02-10 19:45:00,PetLove,Twitter,#Tenderness #PetLove,25,50,Canada,2016,2,10,19
159,161,Arousal of excitement for an upcoming festival.,Arousal,2017-09-25 11:30:00,FestivalFan,Instagram,#Arousal #FestivalExcitement,20,40,UK,2017,9,25,11
160,162,Enthusiasm for a DIY home improvement project.,Enthusiasm,2018-04-15 16:00:00,DIYEnthusiast,Facebook,#Enthusiasm #HomeImprovement,15,30,Australia,2018,4,15,16
161,163,Fulfillment in completing a challenging puzzle.,Fulfillment,2019-11-28 18:20:00,PuzzleMaster,Twitter,#Fulfillment #PuzzleChallenge,22,45,India,2019,11,28,18
162,164,Reverence for the wonders of nature on a hiking trail.,Reverence,2020-05-11 15:00:00,NatureAdmirer,Instagram,#Reverence #NatureExploration,18,35,USA,2020,5,11,15
163,165,Elation after a surprise reunion with a childhood friend.,Elation,2021-02-05 9:30:00,ChildhoodJoy,Facebook,#Elation #FriendshipReunion,25,50,Canada,2021,2,5,9
164,166,Suffering from despair after another setback.,Despair,2021-03-10 8:30:00,StrugglingSoul,Twitter,#Despair #Struggle,5,10,USA,2021,3,10,8
165,167," Overwhelmed by grief, missing a loved one dearly.  ",Grief,2022-07-05 15:45:00,MourningHeart,Instagram,#Grief #Loss,8,15,Canada,2022,7,5,15
166,168,Loneliness creeps in as the night grows colder.,Loneliness,2019-11-18 21:20:00,SolitarySoul,Facebook,#Loneliness #Isolation,10,20,UK,2019,11,18,21
167,169,Jealousy consumes me as I witness others' success.,Jealousy,2020-08-12 11:30:00,EnviousObserver,Twitter,#Jealousy #Envy,12,25,India,2020,8,12,11
168,170,Resentment building up over past betrayals.,Resentment,2018-05-22 14:45:00,BitterHeart,Instagram,#Resentment #Bitterness,7,15,Australia,2018,5,22,14
169,171,Frustration mounts as obstacles block my path.,Frustration,2017-01-30 16:10:00,BlockedGoals,Facebook,#Frustration #Obstacles,10,20,USA,2017,1,30,16
170,172," Boredom sets in, the day feels endlessly dull.     ",Boredom,2016-09-28 19:45:00,BoredMind,Twitter,#Boredom #LackOfInterest,8,15,Canada,2016,9,28,19
